District,rural/urban,Male,Female,Total,Households,Area_in_Sq_Km,_Household_Density_,Population_Density,Gender_Index,County,Location,Location_1,Province,OBJECTID
TRANS NZOIA WEST,Rural,117754,121100,238854,47146,622.05,75.790000,121289.299900,1.028415,RIFT VALLEY,"TRANS NZOIA WEST, RIFT VALLEY Kenya
",,34.89426897,103
TRANS NZOIA EAST,Rural,96596,98577,195173,39119,629.78,62.120000,98730.380550,1.020508,RIFT VALLEY,"TRANS NZOIA EAST, RIFT VALLEY Kenya
",,35.18029104,104
KWANZA,Rural,108501,108809,217310,42605,1106.59,38.500000,108907.049900,1.002839,RIFT VALLEY,"KWANZA, RIFT VALLEY Kenya
",,34.85810469,105
BARINGO,Rural,65136,66242,131378,27309,2420.16,11.280000,66268.913920,1.016980,RIFT VALLEY,"BARINGO, RIFT VALLEY Kenya
",,35.97415916,106
BARINGO NORTH,Rural,46228,47561,93789,19734,1703.49,11.580000,47588.137230,1.028835,RIFT VALLEY,"BARINGO NORTH, RIFT VALLEY Kenya
",,35.80555092,107
EAST POKOT,Rural,69889,63300,133189,21291,4516.81,4.710000,63315.473090,0.905722,RIFT VALLEY,"EAST POKOT, RIFT VALLEY Kenya
",,36.01860317,108
KOIBATEK,Rural,68064,67590,135654,26523,2273.55,11.670000,67619.937320,0.993036,RIFT VALLEY,"KOIBATEK, RIFT VALLEY Kenya
",,35.86953085,109
ELDORET WEST,Rural,123499,123933,247432,47151,1018.49,46.300000,124054.257000,1.003514,RIFT VALLEY,"ELDORET WEST, RIFT VALLEY Kenya
",,35.19163187,110
ELDORET EAST,Rural,80374,80348,160722,30873,1182.97,26.100000,80415.942550,0.999677,RIFT VALLEY,"ELDORET EAST, RIFT VALLEY Kenya
",,35.41893944,111
WARENG,Rural,70614,69852,140466,27773,832.61,33.360000,69936.810420,0.989209,RIFT VALLEY,"WARENG, RIFT VALLEY Kenya
",,35.33850049,112
MARAKWET,Rural,89136,90322,179458,37581,1583.88,23.730000,90378.276990,1.013306,RIFT VALLEY,"MARAKWET, RIFT VALLEY Kenya
",,35.50699822,113
KEIYO,Rural,68649,68705,137354,28369,1290,21.990000,68758.216280,1.000816,RIFT VALLEY,"KEIYO, RIFT VALLEY Kenya
",,35.57039657,114
NANDI NORTH,Rural,80199,80406,160605,31106,730.87,42.560000,80515.730870,1.002581,RIFT VALLEY,"NANDI NORTH, RIFT VALLEY Kenya
",,35.06077368,115
NANDI CENTRAL,Rural,70344,72075,142419,28367,506.18,56.040000,72213.970330,1.024608,RIFT VALLEY,"NANDI CENTRAL, RIFT VALLEY Kenya
",,35.08490348,116
NANDI EAST,Rural,57741,54897,112638,25598,528.57,48.430000,55006.240020,0.950746,RIFT VALLEY,"NANDI EAST, RIFT VALLEY Kenya
",,35.23779105,117
NANDI SOUTH,Rural,78209,79758,157967,30768,525.45,58.560000,79906.841940,1.019806,RIFT VALLEY,"NANDI SOUTH, RIFT VALLEY Kenya
",,34.96800793,118
TINDERET,Rural,39109,37946,77055,14489,379.67,38.160000,38049.007880,0.970263,RIFT VALLEY,"TINDERET, RIFT VALLEY Kenya
",,35.3167413,119
LAIKIPIA NORTH,Rural,16158,15181,31339,6360,2598.1,2.450000,15187.219160,0.939535,RIFT VALLEY,"LAIKIPIA NORTH, RIFT VALLEY Kenya
",,36.99627658,120
LAIKIPIA EAST,Rural,47846,47497,95343,26516,2846.76,9.310000,47513.807180,0.992706,RIFT VALLEY,"LAIKIPIA EAST, RIFT VALLEY Kenya
",,36.95183375,121
LAIKIPIA WEST,Rural,85278,88150,173428,40973,3769.61,10.870000,88172.622500,1.033678,RIFT VALLEY,"LAIKIPIA WEST, RIFT VALLEY Kenya
",,36.5181069,122
NAKURU,Rural,74315,72848,147163,33709,1150.95,29.290000,72912.568400,0.980260,RIFT VALLEY,"NAKURU, RIFT VALLEY Kenya
",,36.03461164,123
NAKURU NORTH,Rural,68149,70909,139058,31938,526,60.720000,71038.560840,1.040499,RIFT VALLEY,"NAKURU NORTH, RIFT VALLEY Kenya
",,36.16401596,124
NAIVASHA,Rural,73424,73433,146857,36293,2201.08,16.490000,73466.358170,1.000123,RIFT VALLEY,"NAIVASHA, RIFT VALLEY Kenya
",,36.33344468,125
MOLO,Rural,219216,216006,435222,94283,2276.9,41.410000,216102.278300,0.985357,RIFT VALLEY,"MOLO, RIFT VALLEY Kenya
",,35.75756717,126
NAROK NORTH,Rural,109966,103800,213766,42982,4639.41,9.260000,103823.702600,0.943928,RIFT VALLEY,"NAROK NORTH, RIFT VALLEY Kenya
",,35.99464674,127
NAROK SOUTH,Rural,158947,158897,317844,62412,10412.05,5.990000,158912.265700,0.999685,RIFT VALLEY,"NAROK SOUTH, RIFT VALLEY Kenya
",,35.5807782,128
TRANS MARA,Rural,130323,130493,260816,47324,2845.99,16.630000,130538.791800,1.001304,RIFT VALLEY,"TRANS MARA, RIFT VALLEY Kenya
",,34.89742997,129
KAJIADO CENTRAL,Rural,63652,65373,129025,26352,8056.43,3.270000,65380.900770,1.027038,RIFT VALLEY,"KAJIADO CENTRAL, RIFT VALLEY Kenya
",,36.89341002,130
LOITOKITOK,Rural,61472,61277,122749,25565,6389.1,4,61286.621390,0.996828,RIFT VALLEY,"LOITOKITOK, RIFT VALLEY Kenya
",,37.47875865,131
KERICHO,Rural,126197,122741,248938,53136,877.8,60.530000,122884.765100,0.972614,RIFT VALLEY,"KERICHO, RIFT VALLEY Kenya
",,35.21130866,132
KIPKELION,Rural,57546,55888,113434,23675,676.11,35.020000,55973.113370,0.971188,RIFT VALLEY,"KIPKELION, RIFT VALLEY Kenya
",,35.47881562,133
BURET,Rural,142728,138653,281381,58138,1166.86,49.820000,138775.318000,0.971449,RIFT VALLEY,"BURET, RIFT VALLEY Kenya
",,35.3033778,134
SOTIK,Rural,88445,91157,179602,33625,535.32,62.810000,91322.218930,1.030663,RIFT VALLEY,"SOTIK, RIFT VALLEY Kenya
",,35.1490337,135
BOMET,Rural,145925,152672,298597,56084,824.56,68.020000,152848.973200,1.046236,RIFT VALLEY,"BOMET, RIFT VALLEY Kenya
",,35.31899335,136
KAJIADO NORTH,Rural,76387,74289,150676,34427,6973.34,4.940000,74299.954150,0.972535,RIFT VALLEY,"KAJIADO NORTH, RIFT VALLEY Kenya
",,36.44660994,137
KAKAMEGA CENTRAL,Rural,98023,105490,203513,41352,370.93,111.480000,105754.262800,1.076176,WESTERN,"KAKAMEGA CENTRAL, WESTERN Kenya
",,34.6856109,138
KAKAMEGA SOUTH,Rural,49260,55409,104669,23144,143.56,161.210000,55752.131790,1.124827,WESTERN,"KAKAMEGA SOUTH, WESTERN Kenya
",,34.7077479,139
KAKAMEGA NORTH,Rural,97351,102925,200276,39404,423.8,92.980000,103154.709800,1.057257,WESTERN,"KAKAMEGA NORTH, WESTERN Kenya
",,34.82641205,140
KAKAMEGA EAST,Rural,75699,81476,157175,33661,443.24,75.940000,81646.785580,1.076315,WESTERN,"KAKAMEGA EAST, WESTERN Kenya
",,34.85789384,141
LUGARI,Rural,131855,139845,271700,54680,641.62,85.220000,140050.503300,1.060597,WESTERN,"LUGARI, WESTERN Kenya
",,35.02947866,142
VIHIGA,Rural,45400,51135,96535,20645,103.69,199.100000,51572.843570,1.126322,WESTERN,"VIHIGA, WESTERN Kenya
",,34.72682968,143
EMUHAYA,Rural,63402,72321,135723,31382,134.34,233.600000,72792.951760,1.140674,WESTERN,"EMUHAYA, WESTERN Kenya
",,34.60778185,144
HAMISI,Rural,70469,77790,148259,32096,156.43,205.180000,78240.482640,1.103890,WESTERN,"HAMISI, WESTERN Kenya
",,34.82143608,145
MUMIAS,Rural,115328,125744,241072,50730,428.68,118.340000,126013.030500,1.090316,WESTERN,"MUMIAS, WESTERN Kenya
",,34.48762031,146
BUTERE,Rural,109084,120551,229635,51518,344.46,149.560000,120867.681200,1.105121,WESTERN,"BUTERE, WESTERN Kenya
",,34.54564535,147
BUNGOMA SOUTH,Rural,152157,161988,314145,61280,578.93,105.850000,162250.824500,1.064611,WESTERN,"BUNGOMA SOUTH, WESTERN Kenya
",,34.52131934,148
BUNGOMA NORTH,Rural,108417,114156,222573,41915,420.75,99.620000,114413.675600,1.052935,WESTERN,"BUNGOMA NORTH, WESTERN Kenya
",,34.86452529,149
BUNGOMA EAST,Rural,81861,86202,168063,31961,327.26,97.660000,86452.140560,1.053029,WESTERN,"BUNGOMA EAST, WESTERN Kenya
",,34.73645726,150
BUNGOMA WEST,Rural,102129,107157,209286,40157,387.85,103.540000,107420.320900,1.049232,WESTERN,"BUNGOMA WEST, WESTERN Kenya
",,34.54143282,151
MT. ELGON,Rural,81232,81068,162300,30165,947.8,31.830000,81153.705850,0.997981,WESTERN,"MT. ELGON, WESTERN Kenya
",,34.59729929,152
BUSIA,Rural,134705,148809,283514,58210,650.11,89.540000,149016.203400,1.104703,WESTERN,"BUSIA, WESTERN Kenya
",,34.26474625,153
TESO NORTH,Rural,35403,37415,72818,13491,182.44,73.950000,37609.052840,1.056831,WESTERN,"TESO NORTH, WESTERN Kenya
",,34.34692124,154
SAMIA,Rural,44267,49233,93500,19395,265.12,73.160000,49399.969670,1.112183,WESTERN,"SAMIA, WESTERN Kenya
",,34.08114406,155
BUNYALA,Rural,28617,31545,60162,13535,185.33,73.030000,31699.411050,1.102317,WESTERN,"BUNYALA, WESTERN Kenya
",,34.02046792,156
TESO SOUTH,Rural,53929,57833,111762,21346,277.54,76.910000,58027.310730,1.072391,WESTERN,"TESO SOUTH, WESTERN Kenya
",,34.22063324,157
NAIROBI WEST,urban,352227,332538,684765,212295,261.78,2615.810000,333883.507700,0.944101,NAIROBI,"NAIROBI WEST, NAIROBI Kenya
",,36.79920201,158
NAIROBI EAST,urban,582554,561862,1144416,369866,226.69,5048.460000,564431.826600,0.964481,NAIROBI,"NAIROBI EAST, NAIROBI Kenya
",,36.967484,159
NAIROBI NORTH,urban,545701,516385,1062086,327428,109.26,9720.770000,521379.517700,0.946278,NAIROBI,"NAIROBI NORTH, NAIROBI Kenya
",,36.8911257,160
WESTLANDS,urban,124748,122354,247102,75427,97.38,2537.520000,123635.043300,0.980809,NAIROBI,"WESTLANDS, NAIROBI Kenya
",,36.7882561,161
NYANDARUA NORTH,urban,45400,47255,92655,24094,367.44,252.160000,47378.557590,1.040859,CENTRAL,"NYANDARUA NORTH, CENTRAL Kenya
",,36.42343108,162
NYANDARUA SOUTH,urban,8772,9091,17863,5346,10.54,1695.230000,9923.258065,1.036366,CENTRAL,"NYANDARUA SOUTH, CENTRAL Kenya
",,36.55651343,163
NYERI NORTH,urban,18698,20567,39265,14301,33.38,1176.360000,21127.155780,1.099957,CENTRAL,"NYERI NORTH, CENTRAL Kenya
",,36.9811441,164
NYERI SOUTH,urban,65047,65305,130352,40067,176.12,740.140000,65674.333410,1.003966,CENTRAL,"NYERI SOUTH, CENTRAL Kenya
",,36.89927916,165
KIRINYAGA,urban,40136,43268,83404,27555,76.38,1092.010000,43793.477870,1.078035,CENTRAL,"KIRINYAGA, CENTRAL Kenya
",,37.32018369,166
MURANGA NORTH,urban,15489,16386,31875,10671,20.88,1526.660000,17127.810340,1.057912,CENTRAL,"MURANGA NORTH, CENTRAL Kenya
",,36.98118146,167
MURANGA SOUTH,urban,54240,57151,111391,30464,262.39,424.530000,57357.715190,1.053669,CENTRAL,"MURANGA SOUTH, CENTRAL Kenya
",,37.05522802,168
KIAMBU EAST(KIAMBAA),urban,103028,105649,208677,62874,88.66,2353.760000,106811.057300,1.025440,CENTRAL,"KIAMBU EAST(KIAMBAA), CENTRAL Kenya
",,36.80546766,169
KIKUYU,urban,129946,135061,265007,76794,231.28,1145.840000,135622.855800,1.039363,CENTRAL,"KIKUYU, CENTRAL Kenya
",,36.63360077,170
KIAMBU WEST,urban,39700,40431,80131,23077,84.31,950.470000,40901.881270,1.018413,CENTRAL,"KIAMBU WEST, CENTRAL Kenya
",,36.62625892,171
LARI,urban,0,0,0,0,0,,,,CENTRAL,"LARI, CENTRAL Kenya
",,36.67684469,172
GITHUNGURI,urban,9254,9866,19120,6049,6.88,2779.880000,11211.058140,1.066134,CENTRAL,"GITHUNGURI, CENTRAL Kenya
",,36.79433274,173
THIKA EAST,urban,1950,1520,3470,1215,14.85,233.620000,1651.313131,0.779487,CENTRAL,"THIKA EAST, CENTRAL Kenya
",,37.23100647,174
THIKA WEST,urban,97615,96442,194057,64768,119.76,1620.350000,97257.088510,0.987983,CENTRAL,"THIKA WEST, CENTRAL Kenya
",,37.04502993,175
RUIRU,urban,120550,120457,241007,75184,291.98,825.420000,120869.870700,0.999229,CENTRAL,"RUIRU, CENTRAL Kenya
",,36.99460397,176
GATANGA,urban,1013,923,1936,547,5.28,366.680000,1114.856061,0.911155,CENTRAL,"GATANGA, CENTRAL Kenya
",,36.88791928,177
GATUNDU,urban,2783,3224,6007,1967,1.97,3052.800000,4636.690355,1.158462,CENTRAL,"GATUNDU, CENTRAL Kenya
",,36.85558237,178
MOMBASA,urban,268038,255145,523183,140535,126.24,4144.400000,257268.241400,0.951899,COAST,"MOMBASA, COAST Kenya
",,39.6977,179
KILINDINI,urban,218886,197301,416187,128165,92.62,4493.400000,199664.269300,0.901387,COAST,"KILINDINI, COAST Kenya
",,39.6365,180
KWALE,urban,9674,10206,19880,4053,83.32,238.590000,10322.106580,1.054993,COAST,"KWALE, COAST Kenya
",,39.40753681,181
KINANGO,urban,3897,4092,7989,1610,38.67,206.590000,4192.775795,1.050038,COAST,"KINANGO, COAST Kenya
",,39.10335046,182
MSAMBWENI,urban,45490,44317,89807,23425,115.17,779.760000,44711.981330,0.974214,COAST,"MSAMBWENI, COAST Kenya
",,39.16173404,183
KILIFI,urban,53269,54935,108204,28079,85.74,1262.030000,55556.285280,1.031275,COAST,"KILIFI, COAST Kenya
",,39.60114414,184
KALOLENI,urban,18196,18343,36539,9534,20.58,1775.860000,19227.159380,1.008079,COAST,"KALOLENI, COAST Kenya
",,39.54477529,185
MALINDI,urban,70373,70366,140739,34626,95.25,1477.540000,71104.824150,0.999901,COAST,"MALINDI, COAST Kenya
",,39.74330931,186
TANA RIVER,urban,16622,16539,33161,7235,552.36,60.040000,16569.092690,0.995007,COAST,"TANA RIVER, COAST Kenya
",,39.34922935,187
TANA DELTA,urban,1484,1420,2904,644,0.99,2933.630000,2918.989899,0.956873,COAST,"TANA DELTA, COAST Kenya
",,39.51654731,188
LAMU,urban,10232,10006,20238,4793,14.66,1380.850000,10703.953620,0.977912,COAST,"LAMU, COAST Kenya
",,40.74388079,189
TAITA,urban,22319,22105,44424,12796,34.65,1282.150000,22749.126980,0.990412,COAST,"TAITA, COAST Kenya
",,38.56492447,190
TAVETA,urban,10048,9817,19865,5542,13.41,1481.060000,10566.291570,0.977010,COAST,"TAVETA, COAST Kenya
",,37.97519351,191
MARSABIT,urban,7525,7382,14907,3447,6.22,2395.550000,8591.807074,0.980997,EASTERN,"MARSABIT, EASTERN Kenya
",,37.94495682,192
CHALBI,urban,0,0,0,0,0,,,,EASTERN,"CHALBI, EASTERN Kenya
",,37.36288736,193
LAISAMIS,urban,3110,3500,6610,1494,157.03,42.090000,3519.805133,1.125402,EASTERN,"LAISAMIS, EASTERN Kenya
",,37.48344825,194
MOYALE,urban,21459,21033,42492,6856,60.44,703.020000,21388.046330,0.980148,EASTERN,"MOYALE, EASTERN Kenya
",,38.80269655,195
ISIOLO,urban,26383,27257,53640,12718,39.37,1362.620000,27927.129540,1.033127,EASTERN,"ISIOLO, EASTERN Kenya
",,38.46170147,196
GARBATULLA,urban,4451,4283,8734,1787,210.77,41.440000,4304.117806,0.962256,EASTERN,"GARBATULLA, EASTERN Kenya
",,38.65180184,197
MERU CENTRAL,urban,0,0,0,0,0,,,,EASTERN,"MERU CENTRAL, EASTERN Kenya
",,37.58330732,198
IMENTI NORTH,urban,33460,34428,67888,21881,24.77,2740.250000,35778.827610,1.028930,EASTERN,"IMENTI NORTH, EASTERN Kenya
",,37.43552549,199
IMENTI SOUTH,urban,6695,6591,13286,4404,4.12,3226.950000,8216,0.984466,EASTERN,"IMENTI SOUTH, EASTERN Kenya
",,37.60133849,200
MERU SOUTH,urban,21266,22204,43470,12102,66.02,658.460000,22526.114510,1.044108,EASTERN,"MERU SOUTH, EASTERN Kenya
",,37.67297626,201
MAARA,urban,16023,15971,31994,8642,56.71,564.200000,16253.542760,0.996755,EASTERN,"MAARA, EASTERN Kenya
",,37.62522793,202
IGEMBE,urban,15008,15212,30220,8160,13.25,2279.950000,16344.679250,1.013593,EASTERN,"IGEMBE, EASTERN Kenya
",,38.05720532,203
TIGANIA,urban,1806,1833,3639,954,2.06,1767.360000,2709.699029,1.014950,EASTERN,"TIGANIA, EASTERN Kenya
",,37.77333779,204
THARAKA,urban,4196,4339,8535,2166,87.38,97.680000,4387.020142,1.034080,EASTERN,"THARAKA, EASTERN Kenya
",,38.01828449,205
EMBU,urban,39335,40875,80210,23965,95.46,840.220000,41287.057410,1.039151,EASTERN,"EMBU, EASTERN Kenya
",,37.50475286,206
MBEERE,urban,1328,1383,2711,966,1.65,1647.920000,2187.848485,1.041416,EASTERN,"MBEERE, EASTERN Kenya
",,37.66541038,207
KITUI,urban,58808,61557,120365,27526,443.75,271.250000,61689.525070,1.046745,EASTERN,"KITUI, EASTERN Kenya
",,38.30094003,208
