COUNTY	SUB_COUNTY	ZONE	SCHOOL_ID	SCHOOL	LDDs	FID
GARISSA	FAFI	BURA /BURA	201460	NANIGHI	30	3001
HOMA BAY	NDHIWA	NDHIWA	219302	NDHIWA HOSPITAL	28	3002
HOMA BAY	SUBA	KIGOTO	219751	KICHARE	54	3003
HOMA BAY	SUBA	KIABUYA	219729	GOD OLOO	33	3004
HOMA BAY	RACHUONYO NORTH	KENDU	219453	KIDESWA	27	3005
GARISSA	IJARA	MASALANI	201545	IJARA GIRLS	25	3006
HOMA BAY	MBITA	LAMBWE	219133	NDHURU	48	3007
HOMA BAY	SUBA	KIGOTO	219752	KIEMBE	41	3008
HOMA BAY	NDHIWA	KOBAMA	219238	GOD POKO	36	3009
GARISSA	BALAMBALA	BALAMBALA	201427	MUDEY	38	3010
GARISSA	IJARA	MASALANI	201548	KOTILE	31	3011
Homa Bay	HOMA BAY	ASEGO	218961	NDIRU	58	3012
HOMA BAY	HOMA BAY                                          	ASEGO	218951	KIJAWA	25	3013
HOMA BAY	HOMA BAY SUB COUNTY	NDIRU	219022	GOD PONGE	32	3014
GARISSA	GARISSA	WABERI	201504	NASIB	115	3015
GARISSA	IJARA	MASALANI	201547	KORISSA	38	3016
GARISSA	IJARA	MASALANI	201552	RAHMA	29	3017
GARISSA	IJARA	MASALANI	201538	DAHIR	68	3018
GARISSA	LAGDERA	MODOGASHE	201572	MAALIM	50	3019
GARISSA	FAFI	BURA /BURA	201459	MANSABUBU	28	3020
GARISSA	FAFI	BURU/BURU 1	201468	GALMAGALA	40	3021
GARISSA	IJARA	MASALANI	201554	WARSAME	31	3022
GARISSA	IJARA	MASALANI	201553	SHABELE	30	3023
GARISSA	IJARA	MASALANI	201541	GABABA	30	3024
GARISSA	IJARA	MASALANI	201543	HARA	56	3025
GARISSA		BALAMBALA	201425	LIBAHLOW	56	3026
GARISSA		BALAMBALA	201419	DUJIS	55	3027
GARISSA		BALAMBALA	201507	SHABAH	18	3028
GARISSA		BALAMBALA	201486	SHIMBIREY	24	3029
GARISSA		BALAMBALA	201506	SANKURI	80	3030
GARISSA		LAGDERA	201558	BARAKI	38	3031
GARISSA		LAGDERA	201563	DIHLE NUR	31	3032
GARISSA		LAGDERA	201565	GEYLAB	40	3033
GARISSA		LAGDERA	201575	SARTA	28	3034
GARISSA		LAGDERA	201569	HAGARJARIR	35	3035
GARISSA		LAGDERA	201573	MADINA	39	3036
GARISSA		LAGDERA	201561	BENANE	74	3037
GARISSA		LAGDERA	201574	MODOGASHE BOARDING	60	3038
GARISSA		LAGDERA	201568	GURUFA	70	3039
GARISSA		LAGDERA	201560	BARKUKE	44	3040
GARISSA		LAGDERA	201570	JANJU	30	3041
GARISSA		LAGDERA	201567	GOSMO	15	3042
GARISSA		LAGDERA	201564	ELAN	90	3043
GARISSA		DADAAB	201434	ALANGO ARBA	42	3044
GARISSA		DADAAB	201442	WELHAR	120	3045
GARISSA		DADAAB	201444	DERTU	80	3046
GARISSA		FAFI	201453	BOREHOLE-5	38	3047
GARISSA		FAFI	201458	KAMUTHE	20	3048
GARISSA		FAFI	201456	GUYO	25	3049
GARISSA		FAFI	201450	ABAQDERA	57	3050
GARISSA		FAFI	201457	JAMBELE	56	3051
GARISSA		GARISSA	201479	HYUGA GIRLS	80	3052
GARISSA		GARISSA	201489	YATHRIB	70	3053
GARISSA		GARISSA	201501	JARIROT	33	3054
GARISSA		GARISSA	201495	BULA IFTIN	120	3055
GARISSA		GARISSA	201494	BOYSTOWN	80	3056
GARISSA		GARISSA	201503	NAJAH	51	3057
GARISSA		IJARA	201532	GERILLE	74	3058
HOMA BAY	HOMA BAY                                          	ASEGO	218962	NDORI	51	3059
HOMA BAY	SUBA	KIABUYA	219733	KIMANGE	48	3060
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219399	NDUGA	47	3061
GARISSA	BALAMBALA	BALAMBALA	201428	OHIO	40	3062
HOMA BAY	HOMA BAY                                          	NYAWITA	219040	KIMANYI	25	3063
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219400	NDWARA	35	3064
GARISSA	BALAMBALA	BALAMBALA	201429	OREHEY	20	3065
HOMA BAY	MBITA	LAMBWE	219125	GODJOPE	46	3066
HOMA BAY	SUBA	KIABUYA	219734	KIMORO	37	3067
HOMA BAY	HOMA BAY SUB COUNTY	KABUNDE	219004	NGERE	31	3068
GARISSA	GARISSA	GALBET	201485	RAYA	47	3069
HOMA BAY	RACHUONYO NORTH	KENDU	219449	GOGO	39	3070
HOMA BAY	SUBA	KIGOTO	219754	KINCHORORIO	25	3071
HOMA BAY	NDHIWA	KOBAMA	219245	NGERE KWABAI	50	3072
GARISSA	BALAMBALA	BALAMBALA	201431	SAKA JUNCTION	21	3073
HOMA BAY	HOMA BAY SUB COUNTY	KABUNDE	218999	GOGO KATUMA	25	3074
HOMA BAY	SUBA	SINDO	219794	KINGENYO	34	3075
HOMA BAY	SUBA	SINDO	219802	NGERI	43	3076
GARISSA	GARISSA	GALBET	201488	TUMAINI	55	3077
HOMA BAY	NDHIWA	KOBAMA	219239	GOT ADUNDO	20	3078
HOMA BAY	MBITA SUB COUNTY	MBITA WEST	219171	KIRAMBO	10	3079
HOMA BAY	HOMA BAY                                          	KENDU	219459	NGOCHE	38	3080
GARISSA	GARISSA	GALBET	201475	BULLA MZURI	57	3081
HOMA BAY	SUBA	KIGOTO	219749	GOT ADUNDO	36	3082
HOMA BAY	SUBA	NYAGWETHE	219774	KIRAMBO NYAGWETHE	49	3083
HOMA BAY	MBITA SUB COUNTY	MBITA EAST	219158	NGODHE DSC	27	3084
GARISSA	GARISSA	GALBET	201487	TETU	148	3085
GARISSA	GARISSA	WABERI	201505	SAMBUL	55	3086
GARISSA	BALAMBALA	BALAMBALA	201418	DANYERE	52	3087
GARISSA	LAGDERA	MODOGASHE	201559	BARFIN	45	3088
GARISSA	LAGDERA	MODOGASHE	201557	AFWEINE	40	3089
GARISSA	LAGDERA	MODOGASHE	201566	GOREALE	109	3090
GARISSA	LAGDERA	MODOGASHE	201577	TUG-DUB	35	3091
GARISSA	LAGDERA	MODOGASHE	201562	BULLO	18	3092
GARISSA	GARISSA	WABERI	201497	BULLA COLLEGE	63	3093
GARISSA	GARISSA	WABERI	201502	KORAKORA	31	3094
GARISSA	GARISSA	WABERI	201492	AL-FATAH	70	3095
HOMA BAY	SUBA	SINDO	219790	GOT KOMBUTO	32	3096
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219126	GOT KOPOLO	15	3097
HOMA BAY	NDHIWA	KOBAMA	219240	GOT KOWITI	22	3098
HOMA BAY	HOMA BAY SUB COUNTY	NDIRU	219023	GOT LWALA	31	3099
HOMA BAY	HOMA BAY	NYAWITA	219038	GOT NYALGOSI	60	3100
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219127	GOT NYASUMBI	20	3101
HOMA BAY	MBITA	LAMBWE	219128	GOT RATENG	59	3102
HOMA BAY	NDHIWA	KOBAMA	219241	GOT-KOJOWI	70	3103
HOMA BAY	HOMA BAY                                          	RANDUNG	219054	GUL KAGEMBE	59	3104
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219193	GULWE	21	3105
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219387	HAGGAI KOYIER	25	3106
HOMA BAY	HOMA BAY	URBAN/ASEGO	219093	Homa Bay Pr	67	3107
HOMA BAY	RACHUONYO NORTH	HOMA	219411	HOMA HILS	30	3108
HOMA BAY	RACHUONYO NORTH	HOMA	219412	HOMA LIME	38	3109
HOMA BAY	MBITA SUB COUNTY	RUSINGA	219226	NGODHE S.D.A	20	3110
HOMA BAY	SUBA	KIABUYA	219730	HON. JOHN .MBADI ONGORO	34	3111
HOMA BAY	MBITA SUB COUNTY	MBITA WEST	219172	KIRINDO	27	3112
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219401	NGOU	46	3113
HOMA BAY	MBITA SUB COUNTY	MBITA EAST	219152	HOPE SPECIAL SCH. FOR M.H.CHILDREN WAONDO	10	3114
HOMA BAY	HOMA BAY	NYAWITA	219041	KIRONGO	79	3115
HOMA BAY	NDHIWA	NGUKU	219328	NGUKU	51	3116
HOMA BAY	RACHUONYO NORTH	HOMA	219413	JONYO	35	3117
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219130	KISAKA	22	3118
HOMA BAY	RACHUONYO NORTH	KANDIEGE	219431	NGURA	40	3119
HOMA BAY	HOMA BAY                                          	NYAWITA	219039	KACHAR	36	3120
HOMA BAY	SUBA	NYAGWETHE	219775	KISAKU	41	3121
HOMA BAY	RACHUONYO NORTH	KANDIEGE	219432	NYABIAGE	36	3122
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219194	KAGUNGU	21	3123
HOMA BAY	RACHUONYO NORTH	HOMA	219416	KISINDI	32	3124
HOMA BAY	SUBA	SINDO	219804	NYABOMO	21	3125
HOMA BAY	MBITA SUB COUNTY	RUSINGA	219222	KAKRIGU	38	3126
HOMA BAY	MBITA SUB COUNTY	MBITA EAST	219156	KITARE	22	3127
HOMA BAY	HOMA BAY                                          	KENDU	219460	NYABURI INTEGRATED	80	3128
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219196	KAKRIGU MFANGANO	35	3129
HOMA BAY	SUBA	NYAGWETHE	219777	KITAWA	14	3130
HOMA BAY	SUBA	KIGOTO	219763	NYABWACHECHE	15	3131
HOMA BAY	MBITA SUB COUNTY	RUSINGA	219223	KAMASENGRE	42	3132
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219197	KITENYI	40	3133
HOMA BAY	SUBA	SINDO	219805	NYADENDA	20	3134
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219129	KAMATO	43	3135
HOMA BAY	SUBA	KIGOTO	219755	KITHEREKA	43	3136
HOMA BAY	HOMA BAY	KABUNDE	219005	NYAGIDHA	45	3137
HOMA BAY	MBITA SUB COUNTY	MBITA WEST	219170	KAMAYOGE	29	3138
HOMA BAY	SUBA	KIABUYA	219735	KIWA	33	3139
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219203	NYAHERA	25	3140
HOMA BAY	HOMA BAY                                          	ASEGO	218950	KAMBEKE	20	3141
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219198	KIWARI	10	3142
HOMA BAY	HOMA BAY	EAST KOCHIA	218987	NYAJANJA	22	3143
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219391	KOBOO	40	3144
HOMA BAY	MBITA	MBITA EAST	219153	KAMGERE	34	3145
HOMA BAY	RACHUONYO NORTH	KENDU	219450	KAMOLO	20	3146
HOMA BAY	MBITA SUB COUNTY	MBITA EAST	219154	KAMSAMA	21	3147
HOMA BAY	RACHUONYO NORTH	HOMA	219415	KANAM	35	3148
HOMA BAY	HOMA BAY                                          	KANDIEGE	219428	KANDIEGE	48	3149
HOMA BAY	HOMA BAY SUB COUNTY	NDIRU	219024	KOCHIENGE	36	3150
HOMA BAY	HOMA BAY SUB COUNTY	KABUNDE	219006	NYAKAHIA	48	3151
HOMA BAY	RACHUONYO NORTH	KANDIEGE	219429	KODHOCH	35	3152
HOMA BAY	HOMA BAY                                          	KENDU	219451	KANYADHIANG'	42	3153
HOMA BAY	SUBA	NYAGWETHE	219784	NYAKASERA	21	3154
HOMA BAY	NDHIWA	KOBAMA	219242	KODIDA	55	3155
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219388	KANYAMFWA	28	3156
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219134	NYAKAYIEMBA	26	3157
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219389	KASIBOS	40	3158
HOMA BAY	NDHIWA	NGUKU	219320	KOGA	32	3159
HOMA BAY	SUBA	SINDO	219806	NYAKIYA	21	3160
HOMA BAY	SUBA	SINDO	219792	KASINGA	12	3161
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219392	KOKOTH	27	3162
HOMA BAY	HOMA BAY SUB COUNTY	KABUNDE	219007	NYAKUNE	18	3163
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219393	KOLIECH	33	3164
HOMA BAY	HOMA BAY	RANGWE	219076	NYAKWADHA	56	3165
HOMA BAY	NDHIWA	NDHIWA	219293	KOLWALO	32	3166
HOMA BAY	HOMA BAY SUB COUNTY	NDIRU	219028	NYALIECH	35	3167
HOMA BAY	MBITA SUB COUNTY	MBITA WEST	219174	KOMBE	22	3168
HOMA BAY	SUBA	SINDO	219807	NYALKEMBO	44	3169
HOMA BAY	NDHIWA	NDHIWA	219294	KOME	32	3170
HOMA BAY	HOMA BAY                                          	NYAWITA	219047	NYALUYA	34	3171
HOMA BAY	NDHIWA	NGUKU	219321	KOMOLO	33	3172
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219135	NYAMAJI	42	3173
HOMA BAY	RACHUONYO SOUTH	SAYE	219713	KoselePr	63	3174
HOMA BAY	MBITA SUB COUNTY	MBITA WEST	219178	NYAMANGA	27	3175
HOMA BAY	RACHUONYO SOUTH	ATANDI	219558	KOTIENO DOH PRI.&SPECUNITS FOR MH&PH	48	3176
HOMA BAY	NDHIWA	KOBAMA	219246	NYAMOGO	78	3177
HOMA BAY	RACHUONYO NORTH	KENDU	219454	KOTIENO GUMBA	42	3178
HOMA BAY	NDHIWA	KOBAMA	219247	NYAMOS	67	3179
HOMA BAY	HOMA BAY                                          	KANDIEGE	219430	KOTONJE	48	3180
HOMA BAY	MBITA	MBITA EAST	219159	NYAMUGA	43	3181
HOMA BAY	HOMA BAY                                          	EAST KOCHIA	218984	KOYORE	34	3182
HOMA BAY	MBITA SUB COUNTY	RUSINGA	219227	NYAMUGA SPECIAL SCH. FOR PHY.H.	18	3183
HOMA BAY	MBITA	MBITA EAST	219157	KUGE	52	3184
HOMA BAY	RACHUONYO SOUTH	AWACH	219579	NYAMWAGA	26	3185
HOMA BAY	HOMA BAY	ASEGO	218953	KUJA	60	3186
HOMA BAY	RACHUONYO NORTH	KANDIEGE	219433	NYAMWALA	36	3187
HOMA BAY	SUBA	KIGOTO	219757	KUMBATHA	17	3188
HOMA BAY	NDHIWA	KOBAMA	219248	NYAMWARE	35	3189
HOMA BAY	SUBA	NYAGWETHE	219779	KUMUINDA	20	3190
HOMA BAY	HOMA BAY SUB COUNTY	MISS ZONE/HOMA BAY	219016	NYANDEMA	35	3191
HOMA BAY	HOMA BAY	WEST KOCHIA	219110	KUOYO KAURA	42	3192
HOMA BAY	NDHIWA	KOBAMA	219249	NYANDEMRA	25	3193
HOMA BAY	NDHIWA	NDHIWA	219295	KWOYO	53	3194
HOMA BAY	MBITA SUB COUNTY	MBITA WEST	219180	NYANDENG'A	25	3195
HOMA BAY	HOMA BAY	ASEGO	219096	LAKE	64	3196
Homa Bay	HOMA BAY	ASEGO	218964	NYANDIWA	45	3197
HOMA BAY	MBITA	LAMBWE	219131	LAMBWE	35	3198
HOMA BAY	HOMA BAY	NDIRU	219029	NYANDO	70	3199
HOMA BAY	HOMA BAY SUB COUNTY	NDIRU	219025	LANDA	30	3200
HOMA BAY	NDHIWA	KOBAMA	219250	NYANDOTO	17	3201
HOMA BAY	RACHUONYO NORTH	KENDU	219461	NYANGAJO	15	3202
HOMA BAY	RACHUONYO NORTH	KANDIEGE	219434	NYANGAO	39	3203
HOMA BAY	HOMA BAY                                          	ASEGO	218965	NYANGUU	29	3204
HOMA BAY	HOMA BAY	EAST KOCHIA	218989	NYANGWESO SCH FOR THE DEAF	20	3205
HOMA BAY	RACHUONYO NORTH	HOMA	219419	NYANJA RATENG	30	3206
HOMA BAY	HOMA BAY                                          	KANDIEGE	219435	NYAOLA	58	3207
HOMA BAY	NDHIWA	KOBAMA	219251	NYARANDI	40	3208
HOMA BAY	NDHIWA	NDHIWA	219305	NYARONGI	57	3209
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219136	NYASANJA	15	3210
HOMA BAY	RACHUONYO NORTH	HOMA	219420	NYASANJA	25	3211
HOMA BAY	MBITA SUB COUNTY	MBITA WEST	219181	NYASUMBI	12	3212
HOMA BAY	HOMA BAY                                          	ASEGO	218966	NYATAGO KACHAR	36	3213
HOMA BAY	SUBA	KIABUYA	219741	NYATAMBE	40	3214
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219402	NYATIR	26	3215
HOMA BAY	HOMA BAY	RANDUNG	219055	NYAUU	53	3216
HOMA BAY	HOMA BAY                                          	RANDUNG	219056	NYAWAWA	38	3217
HOMA BAY	RACHUONYO NORTH	KANDIEGE	219436	NYAWIOMUGA	34	3218
HOMA BAY	HOMA BAY                                          	NYAWITA	219048	NYAWITA	42	3219
HOMA BAY	MBITA	MBITA EAST	219160	NYAWIYA	60	3220
HOMA BAY	NDHIWA	KOBAMA	219252	NYONIANG	50	3221
HOMA BAY	HOMA BAY                                          	RANDUNG	219057	NYOPUGE	38	3222
HOMA BAY	MBITA SUB COUNTY	MBITA EAST	219161	OBAMBO	30	3223
HOMA BAY	SUBA	NYAGWETHE	219785	OBANGA	39	3224
HOMA BAY	HOMA BAY                                          	NYAWITA	219049	OBUNGA	47	3225
HOMA BAY	HOMA BAY SUB COUNTY	NDIRU	219031	OBWANDA	39	3226
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219137	OCHIENG ODIERE	17	3227
HOMA BAY	NDHIWA	NGUKU	219329	ODHIAMBO RAMBO	28	3228
HOMA BAY	SUBA	KIABUYA	219743	OGAKA	38	3229
Homa Bay	HOMA BAY	ASEGO	218967	OGANDE MIXED	41	3230
HOMA BAY	HOMA BAY                                          	ASEGO	218968	OGANDE SCH. FOR M. HANDICAPPED	57	3231
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219138	OGANDO	40	3232
HOMA BAY	RACHUONYO NORTH	KENDU	219462	OGANGO	51	3233
HOMA BAY	HOMA BAY SUB COUNTY	KABUNDE	219008	OGONGO KATUMA	20	3234
HOMA BAY	MBITA SUB COUNTY	RUSINGA	219228	OGUTA MBARE WARIGA	22	3235
HOMA BAY	NDHIWA	KOBAMA	219253	OJONDE MIKUMU NYASOCEDI	38	3236
HOMA BAY	HOMA BAY                                          	ASEGO	218969	OJUNGE	41	3237
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219403	OKIKI AMAYO	47	3238
HOMA BAY	HOMA BAY	EAST KOCHIA	218990	OLARE	42	3239
HOMA BAY	HOMA BAY	KABUNDE	219009	OLODO	43	3240
HOMA BAY	HOMA BAY                                          	RANDUNG	219058	OLUSO	21	3241
HOMA BAY	MBITA SUB COUNTY	MBITA WEST	219184	OLWEYA	15	3242
HOMA BAY	SUBA	KIGOTO	219768	OMA	38	3243
HOMA BAY	RACHUONYO NORTH	KANDIEGE	219437	OMBUJO	32	3244
HOMA BAY	RACHUONYO NORTH	KANDIEGE	219438	OMINDI	30	3245
HOMA BAY	RACHUONYO SOUTH	ATANDI	219567	OMOLLO MADO	70	3246
HOMA BAY	RACHUONYO NORTH	KANDIEGE	219439	OMOLO AGAR	26	3247
HOMA BAY	RACHUONYO SOUTH	AWACH	219581	OMUGA	36	3248
HOMA BAY	HOMA BAY	EAST KOCHIA	218992	ONENO	30	3249
HOMA BAY	RACHUONYO NORTH	KENDU	219463	ONENO NAM	30	3250
HOMA BAY	HOMA BAY	WEST KOCHIA	219106	ARIWA	43	3251
HOMA BAY	HOMA BAY	WEST KOCHIA	219107	GOD-BONDO	26	3252
HOMA BAY	HOMA BAY	WEST KOCHIA	219108	GOD-KADO	30	3253
HOMA BAY	HOMA BAY	WEST KOCHIA	219109	GOT-KABOK	45	3254
HOMA BAY	HOMA BAY	WEST KOCHIA	219111	KUOYO KOCHIA	32	3255
HOMA BAY	SUBA	NYAGWETHE	219786	ONGALO	37	3256
HOMA BAY 	NDHIWA	NDHIWA	219306	OGADA	80	3257
HOMA BAY	HOMA BAY	WEST KOCHIA	219114	NGEGU	26	3258
HOMA BAY	HOMA BAY	WEST KOCHIA	219115	NGULU	15	3259
HOMA BAY	HOMA BAY	WEST KOCHIA	219116	NYARUT	17	3260
HOMA BAY	HOMA BAY	WEST KOCHIA	219117	OBENGLE	15	3261
HOMA BAY	HOMA BAY	WEST KOCHIA	219118	ODIENYA	35	3262
HOMA BAY	HOMA BAY	KABUNDE	218998	ARUJO	45	3263
HOMA BAY 	RACHUONYO SOUTH	OYUGIS	219649	AGORO SARE	143	3264
HOMA BAY 	NDHIWA	NDHIWA	219288	AKALA	57	3265
HOMA BAY 	RACHUONYO NORTH	NYAKONGO	219484	ALEGO	54	3266
HOMA BAY 	RACHUONYO NORTH	EAST KOCHIA	218981	ANGIRO	23	3267
HOMA BAY 	NDHIWA	OTOTO	219340	ANGIYA	72	3268
HOMA BAY 	RACHUONYO SOUTH	SAYE	219706	AOLO	64	3269
HOMA BAY 	RACHUONYO SOUTH	RINGA	219685	APONDO	55	3270
HOMA BAY 	NDHIWA	RIANA	219360	AREMBE	47	3271
HOMA BAY 	RACHUONYO SOUTH	RINGA	219686	ATEMO	70	3272
HOMA BAY 	NDHIWA	NGUKA	219318	BONGU UNIT FOR THE DEAF	33	3273
HOMA BAY 	RACHUONYO SOUTH	NYANGIELA	219614	DOL-KODERA	38	3274
HOMA BAY 	MBITA	RUSINGA	219220	DR. WILLIAMS	58	3275
HOMA BAY 	SUBA                                              	SINDO	219789	GINGO	49	3276
HOMA BAY 	SUBA                                              	KIABUYA	219728	GOD BURA	43	3277
HOMA BAY 	RACHUONYO NORTH	OMBOGA	219506	GOT OKII	60	3278
HOMA BAY 	RACHUONYO SOUTH	AYIENGO	219594	GOT-RATENG	59	3279
HOMA BAY 	RACHUONYO SOUTH	OYUGIS	219650	KACHIENG'	98	3280
HOMA BAY 	RACHUONYO NORTH	PALA	219526	KAGAI	39	3281
HOMA BAY 	NDHIWA	OTOTO	219342	KAGURIA	81	3282
HOMA BAY 	RACHUONYO SOUTH	OBER	219637	KAKELO	86	3283
HOMA BAY 	MBITA	MFANGANO	219195	KAKIIMBA	26	3284
HOMA BAY 	NDHIWA	OTOTO	219343	KAMENYA	88	3285
HOMA BAY 	RACHUONYO NORTH	RAMBIRA	219541	KAMSER	88	3286
HOMA BAY 	RACHUONYO NORTH	RAMBIRA	219543	KARABONDI	40	3287
HOMA BAY 	MBITA	RUSINGA	219224	KASWANGA	34	3288
HOMA BAY 	SUBA                                              	KIABUYA	219731	KIABUYA	42	3289
HOMA BAY 	SUBA                                              	SINDO	219793	KIANYUMBA	60	3290
HOMA BAY 	RACHUONYO NORTH	PALA	219528	KIBAGA	35	3291
HOMA BAY 	SUBA                                              	KIGOTO	219750	KIBURA	38	3292
HOMA BAY 	SUBA                                              	KIGOTO	219753	KIGOTO	58	3293
HOMA BAY 	SUBA                                              	KIABUYA	219732	KIKUBI	63	3294
HOMA BAY 	SUBA                                              	SINDO	219795	KINYASAGA	35	3295
HOMA BAY 	SUBA                                              	NYAGWETHE	219776	KISEGI	40	3296
HOMA BAY 	MBITA	MBITA WEST	219173	KISUI	36	3297
HOMA BAY 	RACHUONYO SOUTH	AYIENGO	219601	KITARE	45	3298
HOMA BAY 	RACHUONYO NORTH	OMBOGA	219507	KOBILA	33	3299
HOMA BAY 	NDHIWA	KOBODO	219272	KOBODO	81	3300
HOMA BAY 	RACHUONYO NORTH	MIRIU	219472	KOBUYA	50	3301
HOMA BAY 	NDHIWA	NDHIWA	219292	KODUOGO	92	3302
HOMA BAY 	SUBA                                              	KIGOTO	219773	WIGA	32	3303
HOMA BAY	NDHIWA	KOBAMA	219264	WACHARA KWABWAI	48	3304
HOMA BAY	NDHIWA	KOBAMA	219261	RATIL	30	3305
HOMA BAY 	SUBA                                              	KIGOTO	219756	KOGA	48	3306
HOMA BAY 	NDHIWA	RIANA	219373	OGADI	30	3307
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219206	REMBA	59	3308
HOMA BAY	HOMA BAY	RANGWE	219080	ONGANG'A	65	3309
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219146	WAIGA	32	3310
HOMA BAY 	RACHUONYO SOUTH	RINGA	219699	OGERA	43	3311
HOMA BAY 	NDHIWA	KOBODO	219287	YAGO	51	3312
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219207	RINGITI	32	3313
HOMA BAY	SUBA	SINDO	219809	ONGAYO	31	3314
HOMA BAY 	RACHUONYO SOUTH	AYIENGO	219603	KOGONDA	60	3315
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219214	WAKIANGATA	15	3316
HOMA BAY 	RACHUONYO SOUTH	OYUGIS	219658	OJWANDO	45	3317
HOMA BAY 	RACHUONYO NORTH	NYAKONGO	219504	YALA	54	3318
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219208	RINYA	33	3319
HOMA BAY	HOMA BAY                                          	KABUNDE	219011	RIWA	42	3320
HOMA BAY	HOMA BAY	RANDUNG	219062	ROBA	77	3321
Homa Bay	HOMA BAY	ASEGO	218974	RODI-KOPANY	70	3322
HOMA BAY	NDHIWA	NDHIWA	219313	ROTA	32	3323
HOMA BAY	HOMA BAY SUB COUNTY	KABUNDE	219012	RUGA	28	3324
HOMA BAY	NDHIWA	KOBAMA	219262	RUGA KWABUAYI	50	3325
HOMA BAY	SUBA	SINDO	219815	SAGARUME	38	3326
HOMA BAY	RACHUONYO NORTH	KANDIEGE	219444	SAMANGA	36	3327
HOMA BAY	RACHUONYO NORTH	HOMA	219422	SANGLA	38	3328
HOMA BAY	HOMA BAY                                          	RANDUNG	219063	SANGO GEM	30	3329
HOMA BAY	NDHIWA	NDHIWA	219314	SANGORE	46	3330
HOMA BAY	SUBA	KIGOTO	219770	SANJWERU	35	3331
HOMA BAY	NDHIWA	NGUKU	219334	SASI	28	3332
HOMA BAY	SUBA	SINDO	219816	SAWANKA	12	3333
HOMA BAY	SUBA	KIGOTO	219771	SEKA	58	3334
Homa Bay	HOMA BAY	ASEGO	218975	SERO	72	3335
HOMA BAY	HOMA BAY	ASEGO	219103	SHAURI YAKO	145	3336
HOMA BAY	NDHIWA	KOBAMA	219263	SIBUOCHE	62	3337
HOMA BAY	HOMA BAY                                          	KANDIEGE	219445	SIBURI	50	3338
HOMA BAY	NDHIWA	NDHIWA	219315	SIGAMA	49	3339
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219142	SIKRI JERUSALEM	17	3340
HOMA BAY	RACHUONYO NORTH	KENDU	219464	SIMBI	52	3341
HOMA BAY	HOMA BAY	RANDUNG	219064	SINOGO	43	3342
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219210	SOKLO	52	3343
HOMA BAY	SUBA	KIABUYA	219746	SOKO	14	3344
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219143	SOKO ABALA	16	3345
HOMA BAY	SUBA	KIABUYA	219747	SOKONI	21	3346
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219405	SOMBRO	48	3347
HOMA BAY	HOMA BAY	WEST KOCHIA	219121	SOTA-KOCHIA	37	3348
HOMA BAY	SUBA	SINDO	219818	ST. CHARLES KIBUOGI (ISLAND)	22	3349
HOMA BAY	SUBA	SINDO	219819	ST. JOSEPH MUKIUNDU	30	3350
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219144	SULWE	13	3351
HOMA BAY	SUBA	SINDO	219820	SUMBA	28	3352
HOMA BAY	HOMA BAY	WEST KOCHIA	219122	TAR	52	3353
HOMA BAY	SUBA	KIGOTO	219772	TONGA	25	3354
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219212	UGINA	21	3355
HOMA BAY	NDHIWA	NDHIWA	219316	UNGA	30	3356
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219213	UOZI	33	3357
HOMA BAY	MBITA	LAMBWE	219145	URIANDA	33	3358
HOMA BAY	MBITA	MBITA EAST	219164	USAO	67	3359
