,address,cars,bluecar_counter,utilib_counter,utilib_1.4_counter,charge_slots,charging_status,city,id,kind,geo_point,postal_code,public_name,rental_status,slots,station_type,year,month,day,hour,minute
3108,30 rue marcel vigneron,5,5,0,1,0,nonexistent,arcueil,arcueil-marcelvigneron-30,station,"48.80365, 2.342448",94110,arcueil/marcel vigneron/30,operational,0,station,2018,4,8,14,11
3109,20 rue cognacq jay,2,2,0,0,1,operational,paris,paris-cognacqjay-20,station,"48.8618934, 2.3029282",75007,paris/cognacq jay/20,operational,4,station,2018,4,4,18,22
3110,48 rue henri huchard,1,1,0,0,2,operational,paris,paris-henrihuchard-48,station,"48.89919, 2.330375",75018,paris/henri huchard/48,operational,4,station,2018,4,4,14,29
3111,103 avenue charles de gaulle,1,1,1,0,0,nonexistent,le chesnay,lechesnay-charlesdegaulle-103,station,"48.829499, 2.1275746",78150,le chesnay/charles de gaulle/103,operational,4,station,2018,4,9,0,56
3112,115 boulevard pereire,3,3,1,0,0,operational,paris,paris-pereire-115,station,"48.88576, 2.299225",75017,paris/pereire/115,operational,0,station,2018,4,5,11,3
3113,29 avenue georges pompidou,4,4,1,0,0,operational,villeneuve-la-garenne,villeneuvelagarenne-pompidou-29,station,"48.9418303, 2.3235384",92390,villeneuve-la-garenne/pompidou/29,operational,1,station,2018,4,9,3,43
3114,41 avenue de verdun,6,6,0,0,0,nonexistent,la garenne-colombes,lagarennecolombes-verdun-41,station,"48.90387, 2.230934",92250,la garenne-colombes/verdun/41,operational,0,station,2018,4,3,1,21
3115,2 rue du gã©nã©ral renault,7,7,0,0,0,nonexistent,paris,paris-renault-2,station,"48.8611413, 2.3781941",75011,paris/renault/2,operational,0,station,2018,4,9,17,24
3116,101 rue jean jaurã¨s,5,5,0,0,0,nonexistent,vanves,vanves-jeanjaures-101,station,"48.8258129, 2.2906328",92170,vanves/jean jaurã¨s/101,operational,1,station,2018,4,3,4,38
3117,52 rue de seine,4,4,0,0,0,nonexistent,colombes,colombes-seine-52,station,"48.9201379, 2.2271027",92700,colombes/seine/52,operational,0,station,2018,4,7,21,54
3118,22 place charles fillion,1,1,0,0,1,operational,paris,paris-charlesfillion-22,station,"48.8884456, 2.3160603",75017,paris/charles fillion/22,operational,2,station,2018,4,9,13,49
3119,17 avenue de colmar,6,6,0,0,0,nonexistent,rueil-malmaison,rueilmalmaison-colmar-17,station,"48.8871, 2.181057",92500,rueil-malmaison/colmar/17,operational,0,station,2018,4,5,3,58
3120,16 place des ãtats-unis,0,0,0,0,1,operational,paris,paris-etatsunis-16,station,"48.8684739, 2.2926576",75016,paris/ãtats-unis/16,operational,5,station,2018,4,8,6,7
3121,121 avenue andrã© morizet,4,4,0,0,0,nonexistent,boulogne-billancourt,boulognebillancourt-andremorizet-121,station,"48.840169, 2.229398",92100,boulogne-billancourt/andrã© morizet/121,operational,0,station,2018,4,8,19,48
3122,2 rue de l'amiral coligny,0,0,0,0,2,operational,paris,paris-amiralcoligny-2,station,"48.85971, 2.34024",75001,paris/amiral coligny/2,operational,6,station,2018,4,8,22,15
3123,5 rue de la chaussã©e d'antin,0,0,0,0,1,operational,paris,paris-chausseedantin-5,station,"48.8716413, 2.3338862",75009,paris/chaussã©e d'antin/5,operational,3,station,2018,4,8,15,27
3124,1 rue du moutier,2,2,0,0,0,nonexistent,saint-ouen,saintouen-moutier-1,station,"48.9178855, 2.3323373",93400,saint-ouen/moutier/1,operational,2,station,2018,4,4,23,36
3125,1 place georges pompidou,1,1,0,1,0,nonexistent,levallois-perret,levalloisperret-pompidou-parking,parking,"48.89851, 2.28102",92300,levallois-perret/pompidou/parking,operational,0,station,2018,4,6,20,16
3126,35 rue de provence,0,0,0,0,0,nonexistent,paris,paris-provence-35,station,"48.874155, 2.338559",75009,paris/provence/35,operational,4,station,2018,4,8,13,26
3127,42 avenue du gã©nã©ral de gaulle,1,1,0,0,0,nonexistent,maisons-alfort,maisonsalfort-generaldegaulle-42,space,"48.8138166, 2.4212353",94700,maisons-alfort/de gaulle/42,operational,5,full_station,2018,4,6,22,43
3128,1 rue dewoittine,3,3,0,1,0,nonexistent,vã©lizy-villacoublay,velizyvillacoublay-dewoittine-1,station,"48.78283, 2.215441",78140,vã©lizy-villacoublay/dewoittine/1,operational,0,station,2018,4,5,8,47
3129,23 boulevard delessert,3,3,0,1,1,operational,paris,paris-delessert-23,station,"48.8585701, 2.2851211",75016,paris/delessert/23,operational,1,station,2018,4,4,13,5
3130,19 rue brã©montier,3,3,0,0,1,operational,paris,paris-bremontier-19,station,"48.8849507, 2.3035012",75017,paris/brã©montier/19,operational,2,station,2018,4,9,23,42
3131,5 rue emile zola,0,0,0,0,0,nonexistent,limeil-brã©vannes,limeilbrevannes-emilezola-5,station,"48.7486341, 2.4788056",94450,limeil-brã©vannes/emile zola/5,broken,0,station,2018,4,2,23,55
3132,3 rue de bã©rite,0,0,0,0,0,nonexistent,paris,paris-berite-3,station,"48.847875, 2.3239783",75006,paris/bã©rite/3,operational,3,station,2018,4,8,16,19
3133,2 rue du commandant lamy,2,2,0,0,0,nonexistent,paris,paris-commandantlamy-2,station,"48.85579, 2.374203",75011,paris/commandant lamy/2,operational,0,station,2018,4,3,19,22
3134,61 boulevard haussmann,2,2,0,0,0,nonexistent,paris,paris-haussmann-61,station,"48.87405, 2.325726",75008,paris/haussmann/61,operational,2,station,2018,4,4,17,17
3135,47 boulevard de l'hã´pital,0,0,0,0,0,operational,paris,paris-hopital-47,station,"48.84019, 2.362478",75013,paris/hã´pital/47,operational,3,station,2018,4,8,21,48
3136,40 avenue victor hugo,3,3,0,0,0,nonexistent,clamart,clamart-victorhugo-40,station,"48.804098, 2.2673976",92140,clamart/victor hugo/40,operational,2,station,2018,4,5,0,6
3137,122 rue mã©nilmontant,0,0,0,0,2,operational,paris,paris-menilmontant-122,station,"48.8699519, 2.3952568",75020,paris/mã©nilmontant/122,operational,2,station,2018,4,1,19,38
3138,330 rue des pyrã©nã©es,5,5,0,0,0,operational,paris,paris-pyrenees-330,space,"48.8732135, 2.3903853",75020,paris/pyrã©nã©es/330,operational,0,full_station,2018,4,5,19,34
3139,10 rue sadi carnot,1,1,0,1,0,nonexistent,asniã¨res-sur-seine,asnieressurseine-sadicarnot-10,station,"48.9100165, 2.2897023",92600,asniã¨res-sur-seine/sadi carnot/10,operational,3,station,2018,4,6,14,27
3140,36 rue ãtienne marcel,1,1,0,0,1,operational,paris,paris-etiennemarcel-36,station,"48.86502, 2.344388",75002,paris/ãtienne marcel/36,operational,2,station,2018,4,9,10,53
3141,105 rue de rennes,0,0,0,0,0,nonexistent,paris,paris-rennes-105,station,"48.8489613, 2.3287351",75006,paris/rennes/105,operational,3,station,2018,4,9,13,34
3142,1 rue du docteur schweitzer,3,3,0,1,0,nonexistent,bagneux,bagneux-schweitzer-1,station,"48.79006, 2.313115",92220,bagneux/schweitzer/1,operational,2,station,2018,4,3,2,56
3143,140 avenue de la rã©publique,1,1,0,1,0,nonexistent,chã¢tillon,chatillon-republique-140,station,"48.8064005, 2.2982685",92320,chã¢tillon/rã©publique/140,operational,2,station,2018,4,9,7,8
